tarih,uyruk,ziyaretci_sayisi
2023-10-01,Gana,484
2023-10-01,Dominik Cumhuriyeti,430
2023-10-01,Moritanya,416
2023-10-01,Küba,415
2023-10-01,Honduras,387
2023-10-01,Sierra Leone,356
2023-10-01,Burkina Faso,307
2023-10-01,Bolivya,298
2023-10-01,Angola,278
2023-10-01,Gabon,276
2023-10-01,İzlanda,263
2023-10-01,Zimbabve,259
2023-10-01,El Salvador,232
2023-10-01,Gambiya,222
2023-10-01,Nikaragua,216
2023-10-01,Cibuti,212
2023-10-01,Nijer,199
2023-10-01,Maldivler,199
2023-10-01,Paraguay,197
2023-10-01,Kongo Cumhuriyeti,161
2023-10-01,Jamaika,150
2023-10-01,Mozambik,149
2023-10-01,Myanmar,144
2023-10-01,Benin,137
2023-10-01,Trinidad ve Tobago,132
2023-10-01,Lihtenştayn,119
2023-10-01,Güney Sudan,114
2023-10-01,Zambiya,100
2023-10-01,Ruanda,97
2023-10-01,Brunei,94
2023-10-01,Bahama Adaları,88
2023-10-01,Ekvator Ginesi,85
2023-10-01,Togo,79
2023-10-01,Haiti,68
2023-10-01,San Marino,66
2023-10-01,Seyşeller,65
2023-10-01,Burundi,62
2023-10-01,Antigua ve Barbuda,59
2023-10-01,Surinam,59
2023-10-01,Komorlar,53
2023-10-01,Makao,47
2023-10-01,Kamboçya,45
2023-10-01,Madagaskar,43
2023-10-01,Grenada,42
2023-10-01,Belize,42
2023-10-01,Malavi,41
2023-10-01,Liberya,40
2023-10-01,Botsvana,37
2023-10-01,Namibya,37
2023-10-01,Andorra,31
2023-10-01,Saint Lucia,29
2023-10-01,Fiji,29
2023-10-01,Lesotho,27
2023-10-01,Orta Afrika Cumhuriyeti,26
2023-10-01,Vanuatu,25
2023-10-01,Yeşil Burun Adaları,25
2023-10-01,Barbados,23
2023-10-01,Gine Bissau,23
2023-10-01,Esvatini,19
2023-10-01,Monako,16
2023-10-01,Bhutan,10
2023-10-01,Laos,10
2023-10-01,Guyana,8
2023-10-01,Doğu Timor,6
2023-10-01,Saint Vincent,4
2023-10-01,Avrupa Birliği,4
2023-10-01,Somaliland,4
2023-10-01,Sao Tome,4
2023-10-01,Vatikan,3
2023-10-01,Papua Yeni Gine,3
2023-10-01,Kuzey Kore,2
2023-10-01,Tonga,1
2023-09-01,Rusya,168925
2023-09-01,Almanya,119681
2023-09-01,İran,111688
2023-09-01,ABD,87670
2023-09-01,Birleşik Krallık,64980
2023-09-01,Fransa,46547
2023-09-01,Irak,42658
2023-09-01,Suudi Arabistan,41903
2023-09-01,İtalya,39717
2023-09-01,İsrail,37946
2023-09-01,Özbekistan,34376
2023-09-01,Kazakistan,34282
2023-09-01,Cezayir,30592
2023-09-01,Azerbaycan,30206
2023-09-01,Çin,29303
2023-09-01,Hollanda,25855
2023-09-01,Fas,25714
2023-09-01,Ürdün,24818
2023-09-01,İspanya,24765
2023-09-01,Hindistan,24073
2023-09-01,Mısır,19353
2023-09-01,Libya,19352
2023-09-01,Kuveyt,19159
2023-09-01,Romanya,18755
2023-09-01,Avustralya,18670
2023-09-01,Kanada,18170
2023-09-01,Ukrayna,17288
2023-09-01,Lübnan,16754
2023-09-01,Güney Kore,15672
2023-09-01,Tunus,14872
2023-09-01,İsviçre,14382
2023-09-01,Meksika,13722
2023-09-01,Türkmenistan,13471
2023-09-01,Belçika,13385
2023-09-01,Endonezya,13117
2023-09-01,Pakistan,12922
2023-09-01,Avusturya,12548
2023-09-01,İsveç,11833
2023-09-01,Bulgaristan,11364
2023-09-01,Suriye,10222
2023-09-01,Polonya,9944
2023-09-01,Brezilya,9870
2023-09-01,Belarus,9708
2023-09-01,Kırgızistan,9019
2023-09-01,Filistin,8328
2023-09-01,Japonya,8207
2023-09-01,Gürcistan,7676
2023-09-01,Yunanistan,7413
2023-09-01,Güney Afrika,7332
2023-09-01,Malezya,7169
2023-09-01,Macaristan,7142
2023-09-01,Danimarka,7030
2023-09-01,Kuzey Kıbrıs,6665
2023-09-01,Portekiz,6413
2023-09-01,Kolombiya,6367
2023-09-01,Tacikistan,6060
2023-09-01,Kosova,5930
2023-09-01,Arjantin,5820
2023-09-01,Norveç,5777
2023-09-01,Filipinler,5456
2023-09-01,Afganistan,5402
2023-09-01,Bosna Hersek,5138
2023-09-01,İrlanda,4869
2023-09-01,Arnavutluk,4648
2023-09-01,Sırbistan,4595
2023-09-01,Tayvan,4405
2023-09-01,Çekya,4078
2023-09-01,Milliyetsiz (Haymatlos),3700
2023-09-01,Singapur,3659
2023-09-01,Hırvatistan,3573
2023-09-01,Yemen,3407
2023-09-01,Moldova,3386
2023-09-01,Yeni Zelanda,3228
2023-09-01,Finlandiya,2980
2023-09-01,Litvanya,2887
2023-09-01,Moğolistan,2861
2023-09-01,Letonya,2676
2023-09-01,Slovenya,2574
2023-09-01,Birleşik Arap Emirlikleri,2564
2023-09-01,Tayland,2551
2023-09-01,Kuzey Makedonya,2544
2023-09-01,Venezuela,2473
2023-09-01,Şili,2365
